im looking for a moderately priced restaurant that serves;inform 
what about north american type of food;reqalts 
breath no american food;negate 
no i want american food;negate 
how about american food;reqalts 
what about american food;reqalts 
hi im looking for a moderately priced restaurant in the west part of town;hello 
uh any type;inform 
im looking for a restaurant in the west part of town that serves moroccan food;inform 
is there one that serves indian food;inform 
could i have their address and phone number;request 
may i have the phone number to the turkiesh;request 
the turkiesh;inform 
the turkiesh food;inform 
turkey food;inform 
turkiesh food;inform 
uh yes can i find a moderately priced restaurant and it serve it should serve brazilian food;affirm 
okay how about a gastropub;reqalts 
okay uh;ack 
okay moderate price range gastropub;inform 
okay and what area;request 
okay and uh how about the phone number;request 
im looking for a restaurant that serves swiss food;inform 
no im looking for one that serves vietnamese food;negate 
what is the whats the phone number;request 
im looking for a korean restaurant in the expensive price range;inform 
moderately priced in the north part of town;inform 
any kind of food id like a cheap restaurant;inform 
id like an expensive restaurant that serves mediteranean food;inform 
could i get the phone number and post code;request 
moderately priced restaurant serving indian food;inform 
uh continental;null 
what type of food they serve;request 
type of food they served;request 
nandos restaurant type of food;request 
what type of food is served;request 
im looking for an expensive restaurant and it should be east part of town;inform 
ese food;inform 
i want the center of town;inform 
chikkis;null 
dont care dont care dont care;inform 
im looking for an expensive restaurant that serves unusual food;inform 
can i have the address phone number and area;request 
im looking for lebanese food;inform 
id like to find a moderately priced restaurant in the east part of town;inform 
do they serve;null 
i want to find a restaurant in the center and it should serve lebanese food;inform 
serves lebanese food;inform 
thank you goodbye noise thank you goodbye;thankyou 
and mail postal code;request 
im looking for a restaurant that;inform 
um in the south part of town and its cheap;inform 
im looking for greek food;inform 
noice how about european;reqalts 
nosie;null 
id like a restaurant in any area that it serves canapes;inform 
how about the;null 
hello chinese type of food;inform 
oh whats the phone number;request 
im looking for belgian food;inform 
what about modern european;inform 
im looking for modern european food;inform 
may i have the address and the type of food;request 
im looking for a restaurant in the west part of town that serves canape food;inform 
can you give me the address and phone number;request 
i want to find a cheap restaurant and it should serve scandinavian food;inform 
uh scandinavian food;inform 
um it doesnt matter its for a cheap restaurant;inform 
okay is there;null 
i want to find a;null 
okay could i have the phone number and post code;request 
international food in the east part of town;inform 
aw give me the damn code;null 
expensive restaurant serving world food;inform 
i would like to find a moderately priced restaurant and it should be in the east part of town;inform 
i am looking for an expensive restaurant that serves;inform 
what is their address phone number and post code;request 
and the phone number again;request 
no the phone number;request 
what was the phone number for chiquito;request 
chiquito;inform 
im looking for an expensive restaurant in south part of town;inform 
sorry about my mistakes thank you good bye;thankyou 
east noise;inform 
noise anything expensive;inform 
how about korean foo;reqalts 
cheap italian food;inform 
usually;null 
different kind of food;request 
i changed my mind;null 
ah thank you goodbye;thankyou 
i need a cuban restaurant that is moderately priced;inform 
what about a spanish restuarant;inform 
uh yes restaurant that serves danish food;affirm 
how about english food in the north part of town;reqalts 
the phone number please;request 
i want malaysian food in any area;inform 
looking for a moderately priced restaurant and it needs to be in the south part of town;inform 
uh any type of food;inform 
can i have the phone number and type of food that;request 
can i please have the phone number;request 
im looking for moderately priced restaurant and it should serve halal food;inform 
what type food;inform 
is that asian oriental type of food;confirm 
cheap european food;inform 
expensive european;inform 
yea im looking for a really cheap restaurant;inform 
good thank you good bye;bye 
i need a moderately priced restaurant serving fusion food;inform 
breath can i get a restaurant serving chinese food;inform 
i need a restaurant serving chinese food;inform 
i dont care what part of town;inform 
is there a chinese food;confirm 
what about other parts of town;inform 
tuscan food south part of town;inform 
restaurant east;inform 
uh what about portuguese food;reqalts 
pan;null 
addrss;request 
uh yes im looking for a cheap restaurant that serves medetanian food;affirm 
okay and the phone number;request 
yea thank you good bye;affirm 
im looking for a cheap restaurant serving modern european type of food;inform 
serving modern european type of food;inform 
im looking for an expensive restaurant in the east of town;inform 
restaurant in the east part of town serving basque food;inform 
breath curry prince address;request 
curry prince address and phone number;request 
a restaurant in the east part of town serving indian food;inform 
7:30;null 
is it hungarian;confirm 
im looking for an expensive restaurant serving malaysian food;inform 
hi im looking for a cheap restaurant in the south part of town;hello 
expensive restaurant serving portuguese food;inform 
moderate price west part of town;inform 
noise center;inform 
in what area;request 
im looking for a cheap restaurant and it should be in the south part of town;inform 
im looking for a restaurant in the west part of town that serves jamaican food;inform 
try calling again in one minuet;repeat 
id like to find a restaurant in the north part of town that serves german food;inform 
id like to find a restaurant in the north part of town serving french food;inform 
noise address;request 
thank you noise;thankyou 
uh restaurant;inform 
cheap jamaican;inform 
i dont want chinese;deny 
i need jamaican food;inform 
cheap restaurant that serves;inform 
yeah a cheap restaurant serving international food;affirm 
im looking for a restaurant in any area it should serve gastropub food;inform 
malyasian;inform 
may i get the address phone number and price;request 
may i get the price range;request 
im looking for japanese food;inform 
im looking for a restaurant in the south part of town serving jamaican food;inform 
im looking for a restaurant in the south part of town serving chinese food;inform 
im looking for a restaurant in the south of town serving chinese food;inform 
can i have greek food;inform 
im looking for a restaurant that serves bistro food;inform 
im looking for a turkish type of restaurant;inform 
im looking for a restaurant in any area that serves bistro food;inform 
how about uh;null 
turkish type of food;inform 
i would like a cheap restaurant;inform 
im looking for a restaurant in the center of town that serves african food;inform 
im looking a restaurant in the east part of town;inform 
i want to find a cheap re;inform 
i want to find the address;request 
i want to find a moderately priced restaurant and it should serve asian food;inform 
is there a restaurant that has british food;reqalts 
is that persian food;confirm 
how about persian food;reqalts 
i want to find a restaurant in the center that serves lebanese food;inform 
i want a restaurant in the moderate price range;inform 
um is doesnt matter;inform 
what about modern european type food;inform 
i would like a moderately priced restaurant in the west part of town;inform 
see you good bye;bye 
i need a moderately priced restaurant that serves world food;inform 
i want to find a moderately priced restaurant that serves moroccan food;inform 
how about spanish types of food;reqalts 
can i get an address phone number and post code;request 
im looking for a restaurant in the east part of town thats expensive;inform 
price over food west part of town;inform 
class over;inform 
im looking for a expensive restaurant in the east part of town;inform 
expensive restaurant welsh food;inform 
want something in the south side of town thats moderately priced;inform 
i need cheap hungarian restaurant;inform 
see the address;request 
im looking for tuscan food;inform 
what is little seouls phone number;request 
no the south part;negate 
um an expensive;inform 
restaurant in any area international food;inform 
im looking for a malaysian restaurant in the north part of town;inform 
um what about italian food;reqalts 
noise what was their address again please;request 
north part of town serving gastropub food;inform 
what about a chinese restaurant in the north of town;inform 
do they serve chinese food;confirm 
just chinese food in the north part of town;inform 
does it serve polynesian food;confirm 
may i have the address and the phone number;request 
im looking for a restaurant in the north part of town serving lebanese food;inform 
if there is no such venue how about italian type of food;reqalts 
im looking for a restaurant in the north part of town serving italian type of food;inform 
looking for afghan good;inform 
cool um thank you good bye;bye 
un unusual food;inform 
im looking for a moderately priced labonese restaruant;inform 
oh i need to be in the north;inform 
thats the north;inform 
okay give me another option;reqalts 
okay can you give me another restaurant;ack 
i believe you anything else;reqalts 
okay what type of food is that;request 
im looking for a moderately priced restaurant uh serving halal food;inform 
does it serve halal food;confirm 
no i want halal food;negate 
um what about european;reqalts 
im looking for romanian food in the expensive price range;inform 
and its address;request 
uh what is its address;request 
im looking for a restaurant in the west part of town serving italian food;inform 
hi im looking for mexican food;hello 
id like a pan asian restaurant;inform 
no im looking for pan asian;negate 
laugh you suck;null 
cheap restaurant that serves german food;inform 
bout;null 
asian ori;inform 
what about asian oriental foo;reqalts 
oriental;inform 
im looking for a restaurant that serves asian oriental food in the cheap price ran;inform 
what type of food do they ser;request 
type of foo;null 
im looking for a restaurant in the cheap price range that serves asian oriental food;inform 
no south part of town;negate 
part of town the address and postal code please;request 
moder;null 
yes in the moderately priced;affirm 
the address and post code please;request 
im looking for a restaurant in central it should serve japanese food;inform 
im looking for a restaurant in the east part of the town with indian asian food;inform 
im looking for a restaurant in the east part of town that serves indian food;inform 
blow;null 
uh a cheap restaurant in the east part of town;inform 
i want a moderate priced restaurant in the south of town;inform 
i would like a restaurant that serves korean food;inform 
fancy restaurant moroccan food;inform 
can i have the address of that;request 
im looking for an expensive restaurant that serves greek food;inform 
im looking for an expensive restaurant that serves asian oriental food;inform 
and what area is it;request 
uh okay thank you good bye;thankyou 
i want to find a cheap restaurant and it should be in the east part of town;inform 
im looking for a restaurant in the south part of town that serves malaysian food;inform 
is it serving portuguese food;confirm 
i need a moderately priced restaurant that serves bask food;inform 
restaurant in the north part of town that serves hungarian food;inform 
what asian oriental type of food;inform 
looking for an expensive restaurant in the south part of town;inform 
a restaurant cheap north part of town;inform 
okay may i have the address and phone number;request 
moderately priced in the west;inform 
an expensive restaurant;inform 
ring;null 
im looking for a restaurant in the south part of town and danish food;inform 
yes south part of town;affirm 
it deosnt matter;inform 
can i have another option;reqalts 
for a restaurant in any area with international food;inform 
ah whats the address;request 
looking for a restaurant that serves lebanese food;inform 
can i have post code;request 
fuck the missing sock;inform 
can you do anything else beside repeat yourself;inform 
i need to know the phone number and price of food;request 
id like to find a cheap restaurant in the west part of town;inform 
north north part of town;inform 
unintelligible thank you goodbye;thankyou 
find a restaurant in the center of town;inform 
breath im looking for a restaurant that serves cuban food;inform 
can i find a restaurant that serves international food;inform 
can i find a restaurant;inform 
that serves unintelligible;null 
im looking for a restaurant in the north part of town serving malaysian food;inform 
i would like australian foo;inform 
wait noise;null 
unintelligible part of town;request 
im looking for a cheap restaurant with spanish food;inform 
can i have its phone number;request 
can i have the area of the venue;request 
im looking for an expensive restaurant and it should be the east part of town;inform 
restaurant north part of town seafood;inform 
unintelligible expensive;inform 
um english;inform 
im looking for an expensive restaurant that serves signaporean food;inform 
north american type food;inform 
yes right;affirm 
west of town;inform 
im looking for a restaurant in the center part of town that serves european food;inform 
id like an expensive thai restaurant;inform 
i want a restaurant in the east part of town that serves singaporean food;inform 
im looking for a restaurant in any area and it should serve pan asian food;inform 
uh international food;inform 
any range is fine;inform 
the south part of town id like a restaurant that serves traditional food;inform 
its a restaurant in the south of town that serves italian food;inform 
could i have their phone number and post code;request 
what is the phone number and address please;request 
im looking for a moderately priced restaurant that serves tuscan food;inform 
how about uh gastropub;reqalts 
and at the gastropub;inform 
okay whats the address phone number and area;request 
can i get the phone number and address;request 
is that in the north part of town;confirm 
i want one in the north part of town;inform 
find me a cheap vietnamese restaurant;inform 
find me vietnamese food;inform 
im looking for an expensive restaurant that serves irish food;inform 
what is the address and phone number and area;request 
i want to find a moderately priced restaurant that serves cuban food;inform 
i want a cheap restaurant that serves unusual food;inform 
how european;inform 
how european food;reqalts 
is there a restaurant that serves european food;reqalts 
alright give me the address;request 
i am looking for a restaurant in the south part of town and it should serve cantonese food;inform 
pub;inform 
uh yeah im looking for a restaurant in the south part of town and that serves kosher food;affirm 
um how about chinese food;reqalts 
do you have chinese food;inform 
id like an expensive restaurant;inform 
im looking for a restaurant that serves danish food;inform 
could i have a cheap restaurant;inform 
im looking for a restaurant in the north part of town that serves belgian food;inform 
portuguese food any price;inform 
im looking for a restaurant that serves russian food;inform 
moderately restaurant;inform 
how much;request 
moderately priced food;inform 
okay and the phone number please;request 
thanks goodbye;thankyou 
looking for lebanese food in the city center;inform 
um okay thank you good bye;thankyou 
can i have a moderately priced restaurant;inform 
im looking for a cheap restaurant that serves german food;inform 
is there any restaurant serving asian oriental food;reqalts 
im looking for a restaurant in the east part of town that serves afghan food;inform 
how bout chinese food;inform 
how how bout chinese food;inform 
um im looking for a restaurant in the center part of town that serves lebanese food;inform 
noise hello;hello 
noise um in the east part of town;inform 
noise ah gastropub food;inform 
i would like gastropub food in the east part of town please;inform 
what is the address please;request 
i would like to find a restaurant in the center and it should serve korean food;inform 
yes that serves korean food;affirm 
i am looking for a restaurant in the center that serves korean food;inform 
i do not care about the price range im just looking for a restaurant in the center that serves korean food;inform 
i need a moderately priced restaurant in the north part of town;inform 
i dont care is there any north part of town;inform 
can i get the address phone number;request 
id like an expensive restaurant that serves bat food;inform 
could i have their address and phone number please;request 
that serves corsica;inform 
the indian food;inform 
i would like to find an expensive restaurant that serves corsica food;inform 
uh how about north american;reqalts 
is there another alternative;reqalts 
oh so what is the phone number;request 
i want to find a moderately priced restaurant in the east part town;inform 
a moderately priced restaurant in the east of town;inform 
hi im looking for an expensive restaurant in the south part of town;hello 
uh yes i need the north part of town;affirm 
okay what kind of food;request 
okay can i get the phone number;request 
could i have a moderately priced restaurant in the south part of town;inform 
the food of the venue;request 
food of the venue;request 
can i have a moderately priced restaurant on this side of town;inform 
phone number and food;request 
looking for a moderately priced restaurant that serves brazilian;inform 
i want a moderately priced restaurant that serves mediterranean food;inform 
id like a restaurant in the north part of town that serves cross over food;inform 
i want a restaurant in the west part of town that serves australian food;inform 
uh cheap restaurant in north part of town;inform 
looking for a japanese restaurant in the center;inform 
cheap resataurant serving unintelligible food;inform 
cheap unintelligible food;inform 
cheap restaurant serving unintellgible food;inform 
i want a british restaurant in the east part of town;inform 
im looking for a restaurant in any area that serves russian food;inform 
uh i want cantonese food;inform 
what is a good cheap restaurant that serves portuguese food;inform 
thank you good bye crosstalk;bye 
gastropub of food;inform 
i want a restaurant serving greek food;inform 
how about korean type food;reqalts 
i want a korean restaurant;inform 
yea im looking for a really cheap restaurant in the east part of town;inform 
the phone;request 
a restaurant south part of town;inform 
moderate restaurant kosher food;inform 
noise phone number;request 
im looking for a restaurant in the south part of town serving austrian food;inform 
there is no such venue harbor indian type of food;inform 
indian type of food;inform 
theres no such venue unintelligible indian type of food;inform 
im looking for a restaurant in the south part of town serving indian type of food;inform 
belgian;inform 
no new selection;negate 
no im looking in the south of the town;negate 
im looking chineese food;inform 
im looking for a restaurant in the center that serves turkish food;inform 
yes knocking;affirm 
does it serve italian food;confirm 
what about expensive;reqalts 
moderate priced restaurant in the north part of town;inform 
restaurant in center;inform 
yes can i have;affirm 
im looking for moroccan food;inform 
moroccon;inform 
find a cheap restaurant;inform 
i need cant;null 
unitelligible food;inform 
tell me the post code;request 
right on good bye peace;affirm 
can i get a restaurant with vegetarian food;inform 
im looking for a restaurant that serves japanese food;inform 
noise what is the phone number;request 
im looking for an expensive restaurant in the east town;inform 
what kind of food is there;request 
im looking for thai;inform 
any fine;inform 
is it thai food;confirm 
i need a restaurant in the center of town that serves spanish food;inform 
uh yes im looking for malaysian food;affirm 
uh okay how about french food;reqalts 
yes and i dont care about the price range;affirm 
okay and whats the phone number;request 
i need a restaurant serving corsica food;inform 
i need indian food;inform 
polynesia food;inform 
taiwanese;null 
thai restaurant;inform 
the restaurant;inform 
im looking for a moderately priced restaurant and it should serve polynesian food;inform 
in the moderately price;inform 
no indian food;negate 
south part of town please;inform 
what is available;reqalts 
im looking for a restaurant that serves afghan food;inform 
are there any serving european food;inform 
hello and welcome;hello 
could i get the phone number and;request 
could i get the phone number and price range;request 
uh what is the address;request 
i would like expensive food;inform 
restaurant in the west part of town that serves cuban food;inform 
im looking for a restaurant in the east part of town serving japanese food;inform 
cheap restaurant that serves vegetarian food;inform 
ah im looking for a cheap restaurant;inform 
uh does it serve;request 
im looking for a cheap restaurant that serves canapes food;inform 
restaurant that serves can canapes food;inform 
how bout one that serves portuguese food and is cheap;inform 
alright can i have the address;request 
can i have a thai restaurant;inform 
moderately priced in south part;inform 
post;null 
old;null 
noise looking for an expensive restaurant in the south part of town;inform 
i want to find a restaurant that serves world food;inform 
looking for an expensive restaurant that serves indonesian food;inform 
is there a restaurant serving british food;reqalts 
im looking for british food;inform 
looking for a cheap restaurant that serves creative food;inform 
is there one that serves creative food;inform 
uh are there any that serves mediterranean;inform 
are there any that serves mediterranean type food;inform 
okay can i have the phone number and the post code please;request 
find moderately priced restaurant in the west part of town;inform 
what is the address of prezzo;request 
im looking for um;inform 
yes can i have can i get swedish food in any area;affirm 
can i get swedish food;inform 
can i get american food;inform 
im looking for a cheap pan asian food;inform 
okay is there any portuguese food;reqalts 
im looking for an expensive restaurant serving french food;inform 
i want a restaurant in the center that serves seafood;inform 
okay whats the address for that;request 
okay cool uh good bye thank you;thankyou 
like to find a restaurant in the east part of town and it should serve indian food;inform 
ooh thank you good bye;bye 
um italian;inform 
italian type of food;inform 
i want to find a restaurant in the north part of town;inform 
i want to find indian food then;inform 
may i have it its address;request 
im looking for a restaurant in the north part of town serving indian food;inform 
is there anything else in the medium price range;reqalts 
is there anything in the cheap price range;inform 
i am looking for a restaurant in the north part of town serving indian food;inform 
im looking for a restaurant in any area that serves polynesian food;inform 
how about modern european type of food;reqalts 
can i try another one;reqalts 
okay do you have their phone number;request 
im looking for a moroccan restaurant in the center of town;inform 
how about moderately priced thai food;reqalts 
moderately priced restaurant serving moroccan food;inform 
i want a moderately priced;inform 
restaurant and it should serve steak house food;inform 
can i find an expensive restaurant that serves traditional food;inform 
serving modern european food;inform 
noise west;inform 
im looking for a restaurant serving international food;inform 
i dont care about the price;inform 
im looking for a moderately priced restaurant that serves traditional food;inform 
im looking for a moderately priced restaurant that serves spanish food;inform 
i would like european food;inform 
im looking for a restaurant in the north part of town that serves african food;inform 
hi im looking for an restaurant in the center that serves korean food;hello 
yes that sells korean food;affirm 
does it serve korean;confirm 
id like a moderately priced restaurant that serves cuban food please;inform 
lets see im looking for a restaurant in the north part of town that serves vietnamese food;inform 
breath how bout north part of town;inform 
breath whats the phone number of the venue;request 
i want an expensive restaurant that serves polish food;inform 
hello im looking for an expensive restaurant;hello 
i would like crossover food;inform 
i would like modern european food;inform 
you have a shitty system;null 
stop it;bye 
great can i have the address and phone number;request 
restaurant in west part of town serving corsica food;inform 
im looking for an italian restaurant in the east part of town;inform 
i want to find a restaurant serving world food;inform 
looking for moderately priced russian food;inform 
any address;inform 
good bye thank you good bye;bye 
looking for something on the south side;inform 
no danish food;negate 
can you give me its post code;request 
moderately priced serving gastro pub;inform 
looking for a cheap restaurant that serves steak house food;inform 
i need a moderate priced restaurant in the north part of town;inform 
could i have a cheap restaurant in the east part of town;inform 
looking for a restaurant in the south part of town that serves australian food;inform 
what about a restaurant that serves chinese food;reqalts 
change that to chinese food;inform 
change that to a chinese restaurant;inform 
and the;null 
cheap restaurant in the east of town;inform 
i want expensive food in the east part of town;inform 
im looking for a restaurant that serves french food;inform 
im looking for a restaurant in the east part of town serving catalan food;inform 
catalanian;inform 
im looking for moderately priced restaurant serving austrian food;inform 
serving austrian food;inform 
theres no such venue how about gastropub type of food;inform 
noise can i have the phone number;request 
a restaurant with afghan food;inform 
uh a restaurant in the south part of town;inform 
phone number address;request 
i need a restaurant in the center of town that includes international food;inform 
moderately priced restaurant that serves creative food;inform 
im looking for a restaurant in the south part of town serving korean food;inform 
uh yes im looking for a cheap restaurant in the west part of town;affirm 
uh yes a cheap restaurant;affirm 
okay and uh whats their phone number please;request 
okay and um thank you and good bye;bye 
id like to find a restaurant that serves afghan food;inform 
id like to find a restaurant that serves korean food;inform 
may i know more about the area;request 
looking for an expensive restaurant that serves afghan food;inform 
how about an expensive restaurant that serves european food;reqalts 
what area is it;request 
looking for spanish food in the center of town;inform 
yes spanish restaurant;affirm 
restaurant in central;inform 
thai type food;inform 
thai type of food;inform 
um is that moderately priced;confirm 
i am looking for a restaurant serving afghan food;inform 
im looking for a restaurant that serves gastropub food any price range;inform 
thats correct gastropub food;affirm 
did you hang up on me;null 
i want to know the address and phone number;request 
restaurant in the west part of town that serves airitran food;inform 
airitran;inform 
i am looking for a cheap restaurant and it should be in the west part of town;inform 
i want a restaurant in the north part of town that serves vietnamese food;inform 
what about in the west area;reqalts 
im looking for a unintelligible food;inform 
okay what type of food do they serve;request 
may i have their phone number;request 
can you find a moderately priced restaurant;inform 
id like a moderately price;inform 
in what part of town;request 
how about the north part;reqalts 
can i find a moderately priced;inform 
oh jesus christ start over;restart 
and where is that located;request 
find something in the north part;inform 
does it serve m african food;confirm 
is it moderate;confirm 
i dont care moderate price;inform 
good food;inform 
restaurant moderate price;inform 
i need a cheap restaurant that serves indonesian food;inform 
cheap restaurants;inform 
i know mia;null 
im looking for a restaurant in the east part that serves creative food;inform 
how about a restaurant in the east part of town that serves indian food;reqalts 
what about a restaurant in the east part of town that serves indian type food;reqalts 
expensive food in the south of town;inform 
expensive restaurant thai food;inform 
no center;negate 
center town;inform 
looking for cheap barbecue food;inform 
okay i dont care about price range;inform 
okay just regular ecuadorean food;null 
ok what about indian;inform 
on the south part of town;inform 
oh no and cheap;negate 
okay then any;inform 
okay then any part of town;inform 
does it serve vietnamese food;confirm 
in cheap restaurant;inform 
restaurant any area japanese food;inform 
um i dont care i just want traditional food;inform 
yes and in french please;affirm 
what is um the address and phone number;request 
i want to find an expensive restaurant that serves swedish food;inform 
do they serve korean food;confirm 
noise restaurant west part of town danish food;inform 
i would like the address;request 
yea i would like korean food;inform 
can i get the address and zip code;request 
im looking for a restaurant in the center part of town that serves unintelligible food;inform 
not korean unintelligible;inform 
not korean;inform 
what about unintelligible food restaurants;null 
im looking for something expensive;inform 
something serving swiss food;inform 
im looking for a restaurant serving british food then;inform 
breath thank you very much goodbye;thankyou 
dont;null 
im looking for a restaurant in the north part of town serving jamaican food;inform 
serving jamaican food;inform 
uh chinese food;inform 
i want an expensive restaurant that serves sea food;inform 
could you repeat the restaurant name;request 
could you repeat the name;request 
moderately pri;inform 
um yes;affirm 
serves what;request 
im looking for a moderately priced restaurant and it should be in the north of town;inform 
i need a moderately priced restaurant in the north of town;inform 
im looking for something serves japanese food;inform 
and what price range is that or nevermind;request 
whats the phone number for that restaurant;request 
moderately priced food in the north part of town;inform 
noise looking for an expensive restaurant;inform 
noise what is the area;request 
i want to find a moderately priced restaurant that serves canapes food;inform 
tv_noise it doesnt matter;inform 
does it serve canapes food noise;confirm 
tv_noise im looking for a restaurant in the moderately pri;inform 
range that serves cana;null 
noise are there any venues that serve indian type food;inform 
is there any restaurants that serve indian food;reqalts 
is it in the moderate price range;confirm 
may i have the phone number talking;request 
restaurant south part of town english food;inform 
okay i want indian;inform 
okay does it serve indian food;confirm 
uh world food;inform 
hi looking for a moderately priced restaurant;hello 
expensive restaurant scottish food;inform 
british expensive;inform 
expe;null 
whats the;null 
im looking for an expensive restaurant and it should be served international food;inform 
does it serve international food;confirm 
im looking for an expensive restaurant and it should serve international food;inform 
system im looking for expensive restaurant;inform 
system european food;inform 
id like to find an expensive restaurant;inform 
i need an address;request 
restaurant north part of town fast food;inform 
arts town;null 
south expensive;inform 
moderate price range please;inform 
yes i am in the east part of town right now and i am looking for any place that serves indonesian food;affirm 
ok how about chinese food;reqalts 
ok if there is no restaurant serving indonesian food how about a restaurant serving chinese food;reqalts 
ok is there any restaurant that serves chinese food in the east part of town;reqalts 
oh boy;null 
a chi ok lets look for chinese restaurant;inform 
chinese restaurant please;inform 
im looking for a restaurant in any area that serves welsh food;inform 
i want vegetarian food;inform 
i need to find a restaurant in the north part of town that serves jamaican food;inform 
how about an indian restaurant in the north part of town;reqalts 
i need the address phone number and price range;request 
im looking for a restaurant in the center that serves caribbean food;inform 
i would like to find a moderately priced restaurant in the north part of town;inform 
and moderately priced;inform 
can i have a seafood restaurant please;inform 
uh yes can i find a restaurant in the east part of town that serves chinese;affirm 
and can i get the address;request 
and thats all thank you and good bye;thankyou 
restaurant two two phone number;request 
im looking for a restaurant in any area of town that serves belgium food;inform 
a restaurant in the east part of town that serves caribbean food;inform 
im looking for a restaurant in the west park of town that serves australian food;inform 
looking for a moderately priced restaurant that serves unusual food;inform 
im looking for a restaurant in the south part of town that serves pan asian food;inform 
a restaurant in the south part of town serving pan asian food;inform 
a restaurant in the south part of town serving italian food;inform 
uh could i have the phone number;request 
music hello;hello 
can i have the address phone number;request 
probably an address;request 
i want brazilian food;inform 
im looking for a restaurant that serves japanese food in the north part of town;inform 
im looking for an indian restaurant in the north part of town;inform 
alright do you have the phone number for that one;request 
okay what about the post code;request 
tell me number;null 
im looking for an expensive restaurant that serves gastropub food;inform 
yea whats the address;affirm 
hi im looking for a restaurant that serves lebanese food;hello 
um whats the address;request 
im looking for something in the west side;inform 
doesnt matter as long as it is moderately priced;inform 
can i have the address of it;request 
expensive restaurant tuscan food;inform 
okay change restaurant;inform 
i got to find a cheap restaurant that serves mexican food;inform 
is it in the cheap price range;confirm 
is there a cheap restaurant that serves vietnamese food;confirm 
can i please have their phone number;request 
is it what price range;request 
looking for something with gastropub on the east side of town;inform 
good whats the address;request 
cool give me that phone number;request 
i need to find an expensive restaurant in the south part of town;inform 
and can;null 
can i get their post code;request 
vietnamese food in any area;inform 
the phone numeber;request 
im trying to find a cheap restaurant in the east of town;inform 
is it in the east of town;confirm 
yes could you recommend me a place that serves british food in a moderate price range;affirm 
in a moderate price range;inform 
doesnt it does not matter;inform 
yes address;affirm 
moderately priced west part of town;inform 
hi i want to find a moderately priced restaurant in the north part of town;hello 
i hate golden wok is there anything else;reqalts 
great whats the address;request 
whats the type of food they serve;request 
alright thank you bye;thankyou 
i would like to find a restaurant in the north part of town that serves kosher food;inform 
can i have their address and phone number;request 
serving romania food;inform 
polynesian food east of town;inform 
in the east of town;inform 
looking for moderately priced restaurant in the north part of town;inform 
im looking for a moderately priced restaurant that serves austria asian food;inform 
im looking for a restaurant in the north part of town that serves korean food;inform 
can i have a british restaurant in the east please;inform 
yes i would like portuguese food;affirm 
ah what have you got for thai food;inform 
you know thai thai food;inform 
no well how about thai;negate 
not chinese food thai food;inform 
tha thai;inform 
alright whats their address;request 
id like a restaurant in the center that serves mediterranean food;inform 
a restaurant in the center that serves mediterranean food;inform 
im looking for a restaurant in the west part of town that serves canapes food;inform 
can i get a phone number please;request 
no is there anything else;negate 
alright good bye thank you;bye 
im looking for a restaurant that serves jamaican food;inform 
id like a restaurant in the north part of town that serves traditional food;inform 
could i have the asian oriental restaurant;inform 
im looking for a restaurant in the north part of town that serves european food;inform 
restauarant south part of town vanessa food;inform 
yeah im looking for food cheap restaurant;affirm 
is it in the south part;confirm 
im looking for moderately priced restaurant in the north part of town;inform 
is there anything else besides golden wok;reqalts 
india;inform 
im looking for a restaurant in the center that serves romanian food;inform 
could i have their phone number as well;request 
i want to find a moderately priced restaurant and it should be in the north part of town;inform 
can i get the address and type of food;request 
what type of food does the venue;request 
ya im looking for a restaurant serving persian food;inform 
okay is it in the north side of town;confirm 
awesome um whats the number;request 
oh my god thank you goodbye;thankyou 
i want english food in the center of town;inform 
im looking for a restaurant in the west part of town that should serve english food;inform 
im looking for an expensive restaurant in the north part of town;inform 
are there any restaurants that serve english food;reqalts 
um kay whats the post code;request 
restaurant in the south part of town that serves mexican food;inform 
okay what about a a modern european;reqalts 
ah could you give me the address;request 
i would like to find a restaurant in the north part of town;inform 
ok i would like to find a restaurant that serves italian food;inform 
restaurant in the north part of town that serves turkish food;inform 
do you have the phone number of the address;request 
im looking for a thai food restaurant and i dont care the price;inform 
i dont want pizza;null 
holy cow;null 
um im looking for something in the west thats moderately priced;inform 
im looking for a restaurant in the north part of town that serves french food;inform 
um whats the price range;request 
okay can i have the address and phone number;request 
well whats the phone number;request 
do you have christmas food;inform 
um north american food;inform 
yes the address;affirm 
im looking for an expensive restaurant that serves belgium food;inform 
could i have brazilian food;inform 
korean food type;inform 
korea;inform 
uh is there any other;reqalts 
is there any other restaurant;reqalts 
expensive restaurant it should serve persian food;inform 
european type of food;inform 
area of venue;request 
im looking for an expensive restaurant that serves french food;inform 
is there another place;reqalts 
um that serves;null 
im looking for an expensive restaurant that serves turkish food;inform 
i want to find a moderately priced restaurant that serves vietnamese food;inform 
any noise;inform 
i want to find a restaurant in the center;inform 
i want fusion food;inform 
where is the phone number;request 
an area;request 
unintelligible irish food;inform 
irish fdod;inform 
um doesnt matter if its in the center of the town;inform 
expensive restaurant in the south;inform 
would like expensive;inform 
uh cheap restaurant in the north part of town;inform 
the phone number and post code;request 
phone number phone number;request 
christmas food west of town;inform 
i am looking for an expensive restaurant that serves australian food;inform 
what is the phone number a;request 
what is the area of the venue;request 
im looking for a cheap restaurant in the east part of town that serves gastropub food;inform 
west is the address and phone number;request 
looking for a sea food restaurant;inform 
im looking for a sea food restaurant;inform 
